Contract,PaymentMethod,TotalCharges
five years,Bank transfer (automatic),32.62377909
five years,Mailed check,20.44479211
five years,Credit card,24.35477292
five years,Credit card,21.78889344
five years,Credit card,26.29146633
five years,Electronic check,87.21964246
five years,Electronic check,36.02337467
five years,Credit card (automatic),79.08853578
five years,Credit card,48.62033487
Month-to-month,Mailed check,48.40702996
Month-to-month,Credit card (automatic),20.93319235
Month-to-month,Credit card (automatic),62.16789504
Month-to-month,Bank transfer (automatic),24.37090251
Month-to-month,Bank transfer (automatic),20.50174386
Month-to-month,Credit card,32.32252422
Month-to-month,Credit card,28.07440043
Month-to-month,Credit card,32.35092522
Month-to-month,Credit card,37.14658992
Month-to-month,Bank transfer (automatic),23.19190041
Month-to-month,Bank transfer (automatic),26.61371372
Month-to-month,Mailed check,24.39914442
Month-to-month,Mailed check,50.56672862
Month-to-month,Mailed check,32.94744601
Month-to-month,Bank transfer (automatic),24.80008942
Month-to-month,Credit card (automatic),28.01067926
Month-to-month,Credit card (automatic),21.30994959
Month-to-month,Bank transfer (automatic),21.3186068
Month-to-month,Bank transfer (automatic),24.9835312
Month-to-month,Bank transfer (automatic),32.19807101
Month-to-month,Mailed check,33.66108318
Month-to-month,Electronic check,39.77803623
Month-to-month,Electronic check,50.98473077
Month-to-month,Mailed check,33.66108318
Month-to-month,Credit card,31.03648178
Month-to-month,Mailed check,26.03269716
Month-to-month,Credit card,38.87998223
Month-to-month,Mailed check,26.03269716
Month-to-month,Credit card (automatic),20.11309966
Month-to-month,Bank transfer (automatic),22.21041304
Month-to-month,Bank transfer (automatic),24.43382881
Month-to-month,Bank transfer (automatic),23.08266402
Month-to-month,Electronic check,29.84044577
Month-to-month,Mailed check,39.37662666
Month-to-month,Mailed check,30.34794743
Month-to-month,Bank transfer (automatic),31.51071117
Month-to-month,Credit card (automatic),47.56352703
Month-to-month,Bank transfer,31.6202023
Month-to-month,Bank transfer,20.42587842
Month-to-month,Credit card,24.15368586
Month-to-month,Bank transfer (automatic),28.16821301
Month-to-month,Bank transfer (automatic),29.09783455
Month-to-month,Credit card (automatic),48.58317346
Month-to-month,Bank transfer (automatic),59.82678558
Month-to-month,Bank transfer,50.79184563
Month-to-month,Bank transfer,22.17558911
Month-to-month,Electronic check,48.40702996
Month-to-month,Credit card (automatic),47.38627216
Month-to-month,Credit card (automatic),23.764073
Month-to-month,Credit card (automatic),80.44854217
Month-to-month,Bank transfer (automatic),48.11366909
Month-to-month,Mailed check,28.72317822
Month-to-month,Mailed check,31.58127775
Month-to-month,Bank transfer (automatic),22.82841216
Month-to-month,Credit card,21.67226461
Month-to-month,Credit card,59.67328949
Month-to-month,Credit card,23.71134628
Month-to-month,Credit card,40.95142173
Month-to-month,Credit card,28.15902334
Month-to-month,Mailed check,20.11309966
Month-to-month,Mailed check,47.38627216
Month-to-month,Credit card (automatic),21.58569476
Month-to-month,Credit card (automatic),26.74882155
Month-to-month,Bank transfer (automatic),31.1834951
Month-to-month,Credit card,25.67647418
Month-to-month,Credit card,28.35653543
Month-to-month,Electronic check,20.93319235
Month-to-month,Electronic check,21.30994959
Month-to-month,Mailed check,23.764073
Month-to-month,Credit card (automatic),21.58569476
Month-to-month,Credit card (automatic),22.14448701
one time,Electronic check,78.75928047
one time,Electronic check,47.9778876
one time,Credit card (automatic),24.76318983
one time,Credit card,79.08853578
one time,Credit card,43.41882512
one time,Credit card (automatic),45.06151434
one time,Credit card,21.82760476
one time,Electronic check,30.34158107
one time,Bank transfer (automatic),23.41281494
one time,Credit card (automatic),24.76318983
one time,Credit card,20.86024678
one time,Bank transfer,21.36407789
one time,Bank transfer (automatic),20.85572142
one time,Electronic check,28.01067926
one time,Bank transfer (automatic),37.40149646
one time,Bank transfer (automatic),51.44760491
one time,Bank transfer (automatic),45.66104088
one time,Bank transfer (automatic),32.35050692
one time,Mailed check,47.32815756
one time,Mailed check,46.6190909
one time,Mailed check,45.88473321
one time,Bank transfer (automatic),65.07025912
one time,Credit card,41.0370455
one time,Credit card (automatic),45.06151434
one time,Credit card,22.71744239
one time,Bank transfer (automatic),22.48925264
one time,Bank transfer (automatic),22.855557
one time,Bank transfer (automatic),25.90994249
one time,Bank transfer,26.28018174
one time,Bank transfer,21.79517506
one time,Bank transfer,25.69011033
one time,Credit card,20.2406906
one time,Credit card (automatic),22.32043225
one time,Bank transfer (automatic),24.30104567
one time,Bank transfer (automatic),49.90594295
one time,Bank transfer (automatic),25.25137186
one time,Bank transfer (automatic),21.17036044
one time,Bank transfer (automatic),30.27077437
one time,Credit card (automatic),28.53574785
one time,Bank transfer (automatic),30.14466003
one time,Bank transfer (automatic),23.21869704
one time,Bank transfer (automatic),20.0219327
one time,Credit card (automatic),28.53574785
One year,Bank transfer (automatic),27.09695713
One year,Bank transfer (automatic),38.88811575
One year,Bank transfer,24.71706557
One year,Bank transfer (automatic),24.7103126
One year,Mailed check,22.40615465
One year,Bank transfer (automatic),80.89104614
One year,Bank transfer (automatic),28.40364777
One year,Electronic check,26.0494593
One year,Credit card (automatic),22.32043225
One year,Electronic check,62.16789504
One year,Mailed check,80.44854217
One year,Credit card (automatic),26.74882155
One year,Credit card (automatic),22.14448701
One year,Bank transfer (automatic),30.72842558
One year,Mailed check,25.22293164
One year,Credit card,25.61390362
One year,Credit card,45.91465124
One year,Credit card,25.00023347
One year,Credit card,25.18513596
One year,Credit card,27.71554343
One year,Credit card,29.29988003
One year,Credit card,38.95749218
One year,Credit card,24.67314755
One year,Credit card (automatic),80.89104614
One year,Electronic check,23.20109566
One year,Credit card (automatic),24.30104567
One year,Credit card (automatic),30.14466003
One year,Electronic check,21.3186068
One year,Electronic check,23.19190041
One year,Mailed check,26.72977131
One year,Mailed check,31.65870932
One year,Bank transfer (automatic),22.59688593
One year,Credit card (automatic),37.40149646
One year,Credit card,25.13313077
One year,Electronic check,26.61371372
One year,Mailed check,22.21041304
One year,Credit card (automatic),24.7103126
One year,Bank transfer (automatic),126.5711271
One year,Bank transfer (automatic),87.13826986
One year,Mailed check,75.5366001
One year,Mailed check,66.6742057
One year,Mailed check,25.34053532
One year,Bank transfer (automatic),27.01062249
One year,Credit card (automatic),20.85572142
One year,Credit card (automatic),51.44760491
One year,Bank transfer,40.96336127
One year,Credit card,31.5640551
One year,Credit card,31.26482467
One year,Electronic check,24.9835312
One year,Bank transfer (automatic),24.55420282
One year,Mailed check,23.60258761
One year,Bank transfer (automatic),42.33664314
One year,Credit card (automatic),22.48925264
One year,Credit card (automatic),49.90594295
One year,Electronic check,32.19807101
One year,Bank transfer (automatic),24.55420282
One year,Bank transfer (automatic),28.37540591
One year,Mailed check,26.5286076
One year,Credit card,24.91929618
One year,Bank transfer (automatic),25.31465945
One year,Bank transfer (automatic),20.22800686
One year,Bank transfer,29.34909868
One year,Credit card (automatic),28.40364777
One year,Electronic check,24.37090251
One year,Mailed check,48.11366909
One year,Credit card (automatic),31.1834951
One year,Credit card (automatic),30.72842558
One year,Bank transfer (automatic),54.00592956
One year,Credit card,32.62377909
One year,Credit card,32.81595165
One year,Credit card,24.22820186
One year,Bank transfer (automatic),54.50523563
One year,Credit card,45.26074988
One year,Bank transfer (automatic),54.50523563
One year,Credit card,49.61621728
One year,Mailed check,24.43382881
One year,Bank transfer (automatic),48.76806081
One year,Credit card (automatic),58.82907662
One year,Bank transfer,31.92427259
One year,Bank transfer,21.54345842
ten years,Electronic check,37.14658992
ten years,Bank transfer,33.6859431
ten years,Mailed check,24.15368586
ten years,Bank transfer (automatic),31.5640551
ten years,Bank transfer (automatic),26.23098337
ten years,Mailed check,20.23882304
ten years,Mailed check,36.7919255
ten years,Bank transfer,20.18548801
ten years,Bank transfer (automatic),22.16103641
ten years,Mailed check,21.15324325
ten years,Mailed check,31.03648178
ten years,Mailed check,38.87998223
ten years,Bank transfer (automatic),29.89434259
ten years,Credit card (automatic),25.00023347
ten years,Bank transfer (automatic),25.35741287
ten years,Mailed check,23.71134628
ten years,Credit card (automatic),25.18513596
ten years,Credit card,21.78889344
ten years,Bank transfer (automatic),45.26074988
ten years,Bank transfer (automatic),49.61621728
ten years,Credit card (automatic),27.71554343
ten years,Mailed check,28.79989665
ten years,Electronic check,28.07440043
ten years,Mailed check,40.95142173
ten years,Credit card (automatic),28.35653543
ten years,Credit card (automatic),29.29988003
ten years,Bank transfer (automatic),32.81595165
ten years,Mailed check,34.58709266
ten years,Credit card,26.29146633
ten years,Credit card,53.17990346
ten years,Bank transfer (automatic),21.21095693
ten years,Bank transfer,33.69066908
ten years,Bank transfer,20.1656063
ten years,Bank transfer (automatic),29.94540077
ten years,Credit card (automatic),20.86024678
ten years,Credit card (automatic),20.2406906
ten years,Bank transfer (automatic),25.13313077
ten years,Bank transfer (automatic),31.26482467
ten years,Bank transfer (automatic),24.91929618
ten years,Bank transfer (automatic),22.21644075
ten years,Mailed check,28.8701706
ten years,Credit card (automatic),41.0370455
ten years,Electronic check,32.35092522
ten years,Mailed check,28.15902334
ten years,Credit card (automatic),38.95749218
ten years,Bank transfer (automatic),24.22820186
ten years,Bank transfer (automatic),26.46839156
ten years,Credit card,53.17990346
ten years,Credit card (automatic),24.67314755
ten years,Electronic check,46.36509077
ten years,Electronic check,34.71286507
ten years,Credit card (automatic),43.41882512
ten years,Credit card,48.62033487
ten years,Mailed check,42.72166846
Three year,Mailed check,50.98473077
Three year,Credit card (automatic),26.0494593
Three year,Bank transfer (automatic),23.20109566
Three year,Bank transfer (automatic),32.5235651
Three year,Mailed check,25.11618282
Three year,Mailed check,21.61980304
Three year,Bank transfer,43.95425923
Three year,Credit card,25.04121481
Three year,Bank transfer (automatic),39.90817379
Three year,Electronic check,25.11618282
Three year,Bank transfer,39.81210515
Three year,Credit card,27.96459185
Three year,Electronic check,24.39914442
Three year,Mailed check,39.37662666
Three year,Bank transfer (automatic),75.5366001
Three year,Bank transfer (automatic),59.75548884
Three year,Bank transfer (automatic),47.00636376
Three year,Mailed check,57.84183153
Three year,Bank transfer (automatic),22.91619072
Three year,Credit card (automatic),42.73172932
Three year,Credit card (automatic),47.32815756
Three year,Bank transfer,33.5673591
Three year,Bank transfer,23.78246988
Three year,Credit card,20.23882304
Three year,Bank transfer (automatic),23.60258761
Three year,Bank transfer (automatic),26.5286076
Three year,Bank transfer (automatic),23.07544015
Three year,Bank transfer (automatic),33.47708078
Three year,Electronic check,50.56672862
Three year,Mailed check,30.34794743
Three year,Mailed check,28.72317822
Three year,Credit card (automatic),22.40615465
Three year,Bank transfer (automatic),26.72977131
Three year,Bank transfer (automatic),66.6742057
Three year,Bank transfer (automatic),44.23362023
Three year,Bank transfer (automatic),47.49277339
Three year,Mailed check,57.84183153
Three year,Mailed check,20.62957734
Three year,Bank transfer (automatic),35.71297781
Three year,Credit card (automatic),46.6190909
Three year,Bank transfer,24.68172813
Three year,Credit card,36.7919255
Three year,Credit card,21.15324325
Three year,Credit card,28.8701706
Three year,Electronic check,32.94744601
Three year,Mailed check,20.62957734
Three year,Bank transfer,25.0494984
Three year,Credit card,42.72166846
Three year,Bank transfer (automatic),39.40694599
Three year,Electronic check,21.61980304
Three year,Bank transfer,30.61333985
Three year,Credit card,24.06449025
Three year,Bank transfer (automatic),31.65870932
Three year,Bank transfer (automatic),20.23026605
Three year,Credit card (automatic),45.88473321
Three year,Credit card,28.79989665
Three year,Bank transfer (automatic),25.34053532
Three year,Bank transfer (automatic),20.92318767
Three year,Bank transfer,60.54594113
Three year,Electronic check,20.50174386
Three year,Mailed check,31.58127775
Three year,Credit card (automatic),25.22293164
Three year,Bank transfer (automatic),54.00592956
Three year,Credit card,20.44479211
Three year,Credit card,34.58709266
Three year,Credit card,26.46839156
Three year,Mailed check,28.16821301
Three year,Credit card (automatic),38.88811575
Three year,Bank transfer (automatic),27.70879277
Three year,Credit card (automatic),21.08047845
Three year,Credit card (automatic),23.41281494
Three year,Credit card (automatic),21.17036044
Three year,Bank transfer,21.13179292
Three year,Credit card,29.89434259
Three year,Credit card,25.35741287
Three year,Credit card,29.94540077
Three year,Credit card (automatic),30.27077437
Three year,Credit card (automatic),23.21869704
Three year,Credit card (automatic),20.0219327
Three year,Bank transfer (automatic),25.31465945
Three year,Bank transfer (automatic),34.10005202
Three year,Mailed check,33.47708078
Three year,Bank transfer,39.53022984
Three year,Credit card,24.93380226
Three year,Mailed check,31.51071117
Three year,Bank transfer (automatic),20.22800686
Three year,Bank transfer (automatic),48.76806081
Three year,Bank transfer (automatic),26.36926476
Three year,Credit card (automatic),58.65780661
Three year,Credit card (automatic),22.855557
Three year,Bank transfer,22.32097319
Three year,Bank transfer,33.55473113
Three year,Mailed check,22.82841216
Three year,Electronic check,24.80008942
Three year,Mailed check,29.09783455
Three year,Bank transfer (automatic),22.59688593
Three year,Bank transfer (automatic),27.01062249
Three year,Bank transfer (automatic),21.35568889
Three year,Mailed check,22.91619072
Three year,Mailed check,35.71297781
Three year,Mailed check,20.23026605
Three year,Bank transfer (automatic),26.36926476
Three year,Credit card (automatic),65.07025912
Three year,Credit card (automatic),25.90994249
Three year,Mailed check,48.58317346
Three year,Bank transfer (automatic),21.08047845
Three year,Bank transfer,27.47314141
Three year,Mailed check,47.56352703
Three year,Bank transfer (automatic),58.82907662
Three year,Mailed check,42.73172932
Three year,Bank transfer (automatic),58.65780661
Three year,Credit card (automatic),22.16325031
Three year,Credit card (automatic),55.19274755
Three year,Bank transfer,23.40192325
Two year,Bank transfer (automatic),42.33664314
Two year,Credit card (automatic),25.25137186
Two year,Credit card (automatic),27.09695713
Two year,Bank transfer (automatic),56.20246392
Two year,Mailed check,23.07544015
Two year,Bank transfer (automatic),27.70879277
Two year,Bank transfer (automatic),56.20246392
Two year,Bank transfer (automatic),28.37540591
Two year,Mailed check,59.82678558
Two year,Bank transfer,21.62593446
Two year,Bank transfer,22.75744001
Two year,Electronic check,32.5235651
Two year,Mailed check,39.90817379
Two year,Mailed check,39.40694599
Two year,Bank transfer (automatic),34.10005202
Two year,Bank transfer,21.64666788
Two year,Bank transfer,103.2682845
Two year,Credit card,30.23290371
Two year,Credit card,64.10989821
Two year,Credit card,21.21095693
Two year,Bank transfer (automatic),126.5711271
Two year,Mailed check,59.75548884
Two year,Mailed check,44.23362023
Two year,Bank transfer (automatic),21.35568889
Two year,Credit card (automatic),45.66104088
Two year,Bank transfer,23.63952924
Two year,Mailed check,23.08266402
Two year,Bank transfer (automatic),87.13826986
Two year,Mailed check,47.00636376
Two year,Mailed check,47.49277339
Two year,Mailed check,20.92318767
Two year,Credit card (automatic),32.35050692
Two year,Bank transfer,32.07037666
Two year,Credit card,26.23098337
Two year,Credit card,22.16103641
Two year,Credit card,22.21644075
Two year,Mailed check,29.84044577
Two year,Mailed check,39.77803623
Two year,Electronic check,57.15857406
Two year,Credit card (automatic),78.75928047
Two year,Credit card (automatic),30.34158107
Two year,Credit card,87.21964246
Two year,Credit card,46.36509077
Two year,Electronic check,57.15857406
Two year,Credit card (automatic),47.9778876
Two year,Credit card,36.02337467
Two year,Credit card,34.71286507
